#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portugese;Russian;;Extra2;X
#  STRING NAME (do not change!);;;;;;;;;;;X
foreign_investment;Foreign Investment;;;;;;;;;;X
foreign_investment_desc;As increased globalization in business has occurred, it's become very common for big companies to branch out and invest money in companies located in other countries. These companies may be opening up new manufacturing plants and attracted to cheaper labor, production, and fewer taxes in another country. They may make a foreign investment in another firm outside of their country because the firm being purchased has specific technology, products, or access to additional customers that the purchasing firm wants. Overall, foreign investment in a country is a good sign that often leads to growth of jobs and income. As more foreign investment comes into a country, it can lead to even greater investments because others see the country as economically stable.;;;;;;;;;;X
capital_flight;Capital Flight;;;;;;;;;;X
capital_flight_desc;Capital flight occurs when assets or money rapidly flow out of a country, due to an event of economic consequence. Such events could be an increase in taxes on capital or capital holders or the government of the country defaulting on its debt that disturbs investors and causes them to lower their valuation of the assets in that country, or otherwise to lose confidence in its economic strength. This leads to a disappearance of wealth, and is usually accompanied by a sharp drop in the exchange rate of the affected country - depreciation in a variable exchange rate regime, or a forced devaluation in a fixed exchange rate regime. This fall is particularly damaging when the capital belongs to the people of the affected country, because not only are the citizens now burdened by the loss in the economy and devaluation of their currency, but probably also, their assets have lost much of their nominal value. This leads to dramatic decreases in the purchasing power of the country's assets and makes it increasingly expensive to import goods and acquire in form of foreign facilities i.e. medical facilities.;;;;;;;;;;X
reinstate_brezhnev_doctrine;Reinstate the Brezhnev Doctrine;;;;;;;;;;X
reinstate_brezhnev_doctrine_desc;"When forces that are hostile to socialism try to turn the development of some socialist country towards capitalism, it becomes not only a problem of the country concerned, but a common problem and concern of all socialist countries. This doctrine was announced to retroactively justify the invasion of Czechoslovakia in August 1968 that ended the Prague Spring, along with earlier Soviet military interventions, such as the invasion of Hungary in 1956. These interventions were meant to put an end to liberalization efforts and uprisings that had the potential to compromise Soviet hegemony inside the Eastern Bloc, which was considered by the Soviets to be an essential defensive and strategic buffer in case hostilities with NATO were to break out. In practice, the policy meant that only limited independence of the satellite states' communist parties was allowed and that no country would be allowed to compromise the cohesiveness of the Eastern Bloc in any way. That is, no country could leave the Warsaw Pact or disturb a ruling communist party's monopoly on power. Implicit in this doctrine was that the leadership of the Soviet Union reserved, for itself, the right to define ''socialism"" and ''capitalism"".";;;;;;;;;;X
weapons_croatia;Weapons from Croatia;;;;;;;;;;X
weapons_croatia_desc;We have received weapons from Croatia, we can now arm our men!;;;;;;;;;;X
arm_herzeg-bosnia;Arm Herzeg-Bosnia;;;;;;;;;;X
arm_herzeg-bosnia_desc;We can give weapons to help our brothers in the Herzeg-Bosnia.;;;;;;;;;;X
weapons_serbia;Weapons from Serbia;;;;;;;;;;X
weapons_serbia_desc;We have received weapons from Serbia, we can now arm our men!;;;;;;;;;;X
arm_republika_srpska;Arm Republika Srpska;;;;;;;;;;X
arm_republika_srpska_desc;We can give weapons to help our brothers in the Republika Srpska.;;;;;;;;;;X
arm_serbian_krajina;Arm Serbian Krajina;;;;;;;;;;X
arm_serbian_krajina_desc;We can give weapons to help our brothers in the Serbian Krajina.;;;;;;;;;;X
dobrica_cosic;Dobrica Cosic;;;;;;;;;;X
dobrica_cosic_desc;Dobrosav ''Dobrica'' Cosic was a Serbian writer, as well as a political and Serb nationalist theorist. He was the first president of the Federal Republic of Yugoslavia. Admirers often refer to him as the ''Father of the Nation'', due to his influence on modern Serbian politics and national revival movement in the late 1980s, opponents often use that term in an ironic manner. Although Cosic was President of Yugoslavia, Milosevic as President of Serbia, held the real power.;;;;;;;;;;X
dayton_agreement;The Dayton Agreement;;;;;;;;;;X
dayton_agreement_desc;The General Framework Agreement for Peace in Bosnia and Herzegovina, also known as the Dayton Agreement, Dayton Accords, Paris Protocol or Dayton-Paris Agreement, is the peace agreement reached at Wright-Patterson Air Force Base near Dayton, Ohio, United States, in November 1995, and formally signed in Paris on 14 December 1995. These accords put an end to the 3 1?2-year-long Bosnian War, one of the armed conflicts in former Yugoslavia.;;;;;;;;;;X
washington_agreement;The Washington Agreement;;;;;;;;;;X
washington_agreement_desc;The Washington Agreement was a ceasefire agreement between the warring Croatian Republic of Herzeg-Bosnia and the Republic of Bosnia and Herzegovina, signed in Washington on 18 March 1994 and Vienna. Under the agreement, the combined territory held by the Croat and Bosnian government forces was divided into ten autonomous cantons, establishing the Federation of Bosnia and Herzegovina. The cantonal system was selected to prevent dominance by one ethnic group over another.;;;;;;;;;;X
croat-bosniak_war;The Croat-Bosniak War;;;;;;;;;;X
croat-bosniak_war_desc;The Croat–Bosniak War was a conflict between the Republic of Bosnia and Herzegovina and the self-proclaimed secessionist Croatian Community of Herzeg-Bosnia, supported by the Republic of Croatia. The conflict came as a result of the Karadordevo and Graz agreements which envisioned the partition of Bosnia and Herzegovina into Serb and Croat entities, and began when Bosnian Croat forces turned on Bosniaks, who had been their allies up to that point.;;;;;;;;;;X
invade_muslim_balkan;Invade Muslim Balkan Countries;;;;;;;;;;X
invade_muslim_balkan_desc;We can get rid of the muslim menace in the balkans once and for all. We shall remove the remnants of the Ottomans!;;;;;;;;;;X
invade_bosnia;Invade Bosnia;;;;;;;;;;X
invade_bosnia_desc;The Croat–Bosniak War was a conflict between the Republic of Bosnia and Herzegovina and the self-proclaimed secessionist Croatian Community of Herzeg-Bosnia, supported by the Republic of Croatia. The conflict came as a result of the Karadordevo and Graz agreements which envisioned the partition of Bosnia and Herzegovina into Serb and Croat entities, and began when Bosnian Croat forces turned on Bosniaks, who had been their allies up to that point.;;;;;;;;;;X
graz_agreement;The Graz Agreement;;;;;;;;;;X
graz_agreement_desc;The Graz agreement was a partition agreement made between the Bosnian Serb leader Radovan Karadzic and the Bosnian Croat leader Mate Boban on 6 May 1992 in the city of Graz, Austria. The agreement publicly declared the partition of Bosnia and Herzegovina between Republika Srpska and the Croatian Republic of Herzeg-Bosnia. The largest group in Bosnia and Herzegovina, the Bosniaks, did not take part in the agreement and were not invited to the negotiations. Franjo Tudman, in a letter to United States senator Robert Dole, later presented the agreement as part of a Conference on Bosnia and Herzegovina sponsored by the European Community.;;;;;;;;;;X
herzeg-bosnia_independence;The Croatian Community of Herzeg-Bosnia;;;;;;;;;;X
herzeg-bosnia_independence_desc;The Croatian Republic of Herzeg-Bosnia was an entity in Bosnia and Herzegovina that was proclaimed on 18 November 1991 under the name Croatian Community of Herzeg-Bosnia, and claimed to be a separate or distinct ''political, cultural, economic and territorial whole'' in the territory of Bosnia and Herzegovina. Herzeg-Bosnia never proclaimed secession from Bosnia and Herzegovina nor declared such a goal in any official statement, officially recognizing sovereignty of Bosnia and Herzegovina.;;;;;;;;;;X
karadordevo_agreement;The Karadordevo Agreement;;;;;;;;;;X
karadordevo_agreement_desc;Karadordevo agreement refers to a meeting held on 25 March 1991, at the Karadordevo hunting ground in northwest Serbia, attended by the presidents of the Yugoslav federal states SR Croatia and SR Serbia, Franjo Tudman and Slobodan Milosevi?. The topic of their discussion was the ongoing Yugoslav crisis. Although news of the meeting taking place was widely publicized in the Yugoslav media at the time, the meeting became controversial in following years, because of claims by some Yugoslav politicians that Tudman and Milosevic had discussed and agreed to the partitioning of the Yugoslav republic of Bosnia and Herzegovina along ethnic lines.;;;;;;;;;;X
republika_srpska_1;Change Official Name;;;;;;;;;;X
republika_srpska_1_desc;On 12 August 1992, the name of the Serbian Republic of Bosnia and Herzegovina was changed to Republika Srpska (RS).;;;;;;;;;;X
republika_srpska;The Republic of the Serb People of Bosnia and Herzegovina;;;;;;;;;;X
republika_srpska_desc;In a session on 14 and 15 October 1991, the Parliament of Bosnia approved the ''Memorandum on Sovereignty'', as had already been done by Slovenia and Croatia. The Memorandum was adopted despite opposition from 83 Serb deputies, belonging to the Serb Democratic Party as well as the Serbian Renewal Movement and the Union of Reform Forces, who regarded the move as illegal. On 24 October 1991, the Serb deputies formed the Assembly of the Serb People in Bosnia and Herzegovina to be the highest representative and legislative body of the Serb population, ending the tripartite coalition. The Union of Reform Forces soon ceased to exist but its members remained in the assembly as the Independent Members of Parliament Caucus. The assembly undertook to address the achievement of equality between the Serbs and other peoples and the protection of the Serbs' interests jeopardized by decisions of the Bosnian parliament. On 9 January 1992, the assembly proclaimed the Republic of the Serb People of Bosnia and Herzegovina, declaring it part of Yugoslavia.;;;;;;;;;;X
bosnia_independence_1;The Bosnian War;;;;;;;;;;X
bosnia_independence_1_desc;Bosnia's independence was recognized by the European Community on 6 April 1992 and by the United States on 7 April. On the same day the Serbs' assembly in session in Banja Luka declared a severance of governmental ties with Bosnia and Herzegovina, laying siege to Sarajevo which marked the start of the Bosnian War.;;;;;;;;;;X
bosnia_independence;The Independence of Bosnia;;;;;;;;;;X
bosnia_independence_desc;The Bosnian parliament, without its Serb deputies, held a referendum on the independence of Bosnia and Herzegovina on 29 February and 1 March 1992, but most Serbs boycotted it since the assembly had previously (9–10 November 1991) held a plebiscite in the Serb regions, 96 percent having opted for membership of the Yugoslav federation formed only by Serbia and Montenegro. The referendum had a 64 percent turnout and 92.7 percent or 99 percent (according to different sources) voted for independence. On 6 March the Bosnian parliament promulgated the results of the referendum, proclaiming the republic's independence from Yugoslavia.;;;;;;;;;;X
macedonia_flag;The Vergina Flag;;;;;;;;;;X
macedonia_flag_desc;On 11 August 1992, the newly independent Republic of Macedonia adopted a new flag to replace the old Communist ''red star'' insignia. The flag depicted a stylised yellow sun centred on a red field with eight main and eight secondary rays emanating from the sun, tapering to a point. This ancient symbol was known as the Vergina Sun or Vergina Star, named after the Greek town where it had been discovered in archaeological excavations of the ancient Macedonian city of Aigai. The Vergina Sun was regarded by Greece as a symbol of continuity between ancient Macedonia and modern Greek culture, and in particular as a symbol of the Argead dynasty of Philip II of Macedon and his son Alexander the Great. It had also been adopted by many in the then Socialist Republic of Macedonia to symbolise historical connections between that country and ancient Macedon and had been paraded in demonstrations by ethnic Macedonians at home and abroad. The flag, the new state's constitution and its name all became the focus of a bitter dispute between the two countries.;;;;;;;;;;X
federal_yugoslavia;The Federal Republic of Yugoslavia;;;;;;;;;;X
federal_yugoslavia_desc;The Federal Republic of Yugoslavia was a federal state constructed by the republics of Serbia and Montenegro from the former Socialist Federal Republic of Yugoslavia, created after the other four republics broke state from Yugoslavia amid rising ethnic attacks, war and tension.;;;;;;;;;;X
invite_bosnia_yugoslavia;The Third Yugoslavia;;;;;;;;;;X
invite_bosnia_yugoslavia_desc;On 26 December 1991, Serbia, Montenegro, and the Serb rebel-held territories in Croatia agreed that they would form a new ''third Yugoslavia''. Efforts were also made in 1991 to include SR Bosnia and Herzegovina within the federation, with negotiations between Milosevic, Bosnia's Serbian Democratic Party, and the Bosniak proponent of union - Bosnia's Vice-President Adil Zulfikarpasic taking place on this matter. Zulfikarpasic believed that Bosnia could benefit from a union with Serbia, Montenegro, and Krajina, thus he supported a union which would secure the unity of Serbs and Bosniaks. Milosevic continued negotiations with Zulfikarpasic to include Bosnia within a new Yugoslavia, however efforts to include the whole of Bosnia within a new Yugoslavia effectively terminated by late 1991 as Izetbegovic planned to hold a referendum on independence while the Bosnian Serbs and Bosnian Croats formed autonomous territories.;;;;;;;;;;X
invite_bosnia_yugoslavia_1;The Third Yugoslavia is Formed;;;;;;;;;;X
invite_bosnia_yugoslavia_1_desc;Bosnia has accepted our propousal for a new Yugoslavia!;;;;;;;;;;X
macedonia_independence;The Independence of Macedonia;;;;;;;;;;X
macedonia_independence_desc;In the Macedonian independence referendum held on 8 September 1991, 95.26 percent voted for independence. It was declared on 25 September 1991. Five hundred US soldiers were then deployed under the UN banner to monitor Macedonia's northern borders with the Republic of Serbia, Yugoslavia. However, given that Belgrade's authorities had neither intervened to prevent Macedonia's departure, nor protested nor acted against the arrival of the UN troops, the indications were in place that once Belgrade was to form its new country, it would recognise the Republic of Macedonia and develop diplomatic relations with it. As such, it became the only former republic to gain sovereignty without resistance from the Belgrade-based Yugoslav authorities and Army.;;;;;;;;;;X
unprofor;The United Nations Protection Force;;;;;;;;;;X
unprofor_desc;The Implementation Agreement, signed in Sarajevo, Bosnia and Herzegovina, by JNA Lieutenant Colonel General Andrija Raseta and Croatian defence minister Gojko Susak, produced a longer lasting ceasefire, which was supervised by the United Nations Protection Force (UNPROFOR).;;;;;;;;;;X
vance_plan;The Vance Plan;;;;;;;;;;X
vance_plan_desc;The Vance plan was a peace plan negotiated by the former United States Secretary of State Cyrus Vance in November 1991 during the Croatian War of Independence. At that time, Vance was the Special Envoy of the Secretary-General of the United Nations, he was assisted by United States diplomat Herbert Okun during the negotiations. The plan was designed to implement a ceasefire, demilitarize parts of Croatia that were under the control of Croatian Serbs and the Yugoslav People's Army (JNA), allow the return of refugees, and create favourable conditions for negotiations on a permanent political settlement of the conflict resulting from the breakup of Yugoslavia. The Vance plan consisted of two agreements. The first agreement, known as the Geneva Accord, was signed by Yugoslav defence minister General Veljko Kadijevic, President of Serbia Slobodan Milosevic and Croatian President Franjo Tudman in Geneva, Switzerland, on 23 November 1991. Because the ceasefire agreed at that time did not hold, further negotiations resulted in the Implementation Agreement of 2 January 1992. The Implementation Agreement, signed in Sarajevo, Bosnia and Herzegovina, by JNA Lieutenant Colonel General Andrija Raseta and Croatian defence minister Gojko Susak, produced a longer lasting ceasefire, which was supervised by the United Nations Protection Force (UNPROFOR).;;;;;;;;;;X
slv-cro_alliance;Slovenia-Croatia Alliance;;;;;;;;;;X
slv-cro_alliance_desc;Both Slovenia and Croatia are at war against the serb-controlled Yugoslavia, should we make an alliance we have a greater chance of becoming independent.;;;;;;;;;;X
invade_croatia;Invade Croatia;;;;;;;;;;X
invade_croatia_desc;In July, in an attempt to salvage what remained of Yugoslavia, the JNA forces were involved in operations against predominantly Croat areas. In July the Serb-led Territorial Defence Forces started their advance on Dalmatian coastal areas in Operation Coast-91.;;;;;;;;;;X
tra_independence;The Independence of the Serbian Krajina;;;;;;;;;;X
tra_independence_desc;Babic's administration announced the creation of a Serbian Autonomous Oblast of Krajina (or SAO Krajina) on 21 December 1990. On 16 March 1991 another referendum was held which asked ''Are you in favour of the SAO Krajina joining the Republic of Serbia and staying in Yugoslavia with Serbia, Montenegro and others who wish to preserve Yugoslavia?''. With 99.8 percent voting in favour, the referendum was approved and the Krajina assembly declared that ''the territory of the SAO Krajina is a constitutive part of the unified state territory of the Republic of Serbia''. On 1 April 1991, it declared that it would secede from Croatia. Other Serb-dominated communities in eastern Croatia announced that they would also join SAO Krajina and ceased paying taxes to the Zagreb government, and began implementing its own currency system, army regiments, and postal service.;;;;;;;;;;X
branko_3;Mikulic resigns!;;;;;;;;;;X
branko_3_desc;After a no-confidence vote in the Federal Assembly, Mikulic resigned his post on 30 December 1988 and returned to Sarajevo. With this, Mikulic's government became the first and only to resign in the history of communist Yugoslavia. Mikulic left office with Yugoslavia in 21 billion USD of debt to Western countries. He was replaced by Ante Markovic on 16 March 1989.;;;;;;;;;;X
branko_2;Calls for resignation!;;;;;;;;;;X
branko_2_desc;In June 1988, several thousand people protested in front of the Federal Assembly calling for Mikulic's resignation.;;;;;;;;;;X
branko_1;Workers Strike!;;;;;;;;;;X
branko_1_desc;In March 1987, Mikulic was publicly rebuked for his economic policy by striking workers who refused to serve him while in Kranjska Gora for a ski-jump competition. After the outbreak of 70 strikes nationally in a two-week period (with strikes being illegal in Yugoslavia), Mikulic threatened to mobilize the army to restore order in May 1987.;;;;;;;;;;X
yug_hog_1;A New Prime Minister;;;;;;;;;;X
yug_hog_1_desc;Branko Mikulic was nominated by the Yugoslav presidency as successor to Milka Planinc in January 1986. In Ljubljana, Slovenian sociologist Tomaž Mastnak criticized Mikulic's nomination over the radio. The government subsequently laid charges against Mastnak. On 15 May 1986 Mikulic was appointed President of the Federal Executive Council of Yugoslavia.;;;;;;;;;;X
slv_flag;Slovenia Changes Flag;;;;;;;;;;X
slv_flag_desc;Following Slovenian independence from Yugoslavia, the red star was removed and the new coat of arms, designed by Marko Poga?nik, was added. The flag was officially adopted on June 27, 1991, following a long and controversial dispute about the coat of arms of the new Republic.;;;;;;;;;;X
slv_10-day_war_2;The Ten-Day War;;;;;;;;;;X
slv_10-day_war_2_desc;The Ten-Day War, also the Weekend War was a civil war in Yugoslavia that followed the Slovenian declaration of independence on 25 June 1991. It was fought between the Slovenian Territorial Defence and the Yugoslav People's Army (JNA) in 1991, after Slovenia declared its independence. It lasted from 27 June 1991 until 7 July 1991, when the Brijuni Accords were signed.;;;;;;;;;;X
slv_10-day_war_2-1_desc;The Ten-Day War, also the Weekend War was a civil war in Yugoslavia that followed the Slovenian declaration of independence on 25 June 1991. It was fought between the Slovenian Territorial Defence and the Yugoslav People's Army (JNA) in 1991, after Slovenia declared its independence. It lasted from 27 June 1991 until 7 July 1991, when the Brijuni Accords were signed.;;;;;;;;;;X
brioni_agreement;The Brioni Agreement;;;;;;;;;;X
brioni_agreement_desc;The agreement signed on the Brijuni Islands on 7 July 1991 sought to create an environment in which further negotiations on the future of Yugoslavia could take place under the political sponsorship of the European Community (EC). Slovenia and Croatia agreed to suspend activities stemming from their declarations of independence, made on 25 June, for a period of three months. The document also resolved border control and customs inspection issues regarding Slovenia's borders, resolved air-traffic control responsibility and mandated an exchange of prisoners of war. The Brioni Agreement also formed the basis for an observer mission to monitor implementation of the agreement in Slovenia.;;;;;;;;;;X
slv_10-day_war;The Slovenian War of Independence;;;;;;;;;;X
slv_10-day_war_desc;Both Slovenia and Croatia declared their independence on 25 June 1991. On the morning of 26 June, units of the Yugoslav People's Army's 13th Corps left their barracks in Rijeka, Croatia, to move towards Slovenia's borders with Italy. The move immediately led to a strong reaction from local Slovenians, who organized spontaneous barricades and demonstrations against the YPA's actions. There was, as yet, no fighting, and both sides appeared to have an unofficial policy of not being the first to open fire. By this time, the Slovenian government had already put into action its plan to seize control of both the international Ljubljana Airport and the Slovenia's border posts on borders with Italy, Austria and Hungary. The personnel manning the border posts were, in most cases, already Slovenians, so the Slovenian take-over mostly simply amounted to changing of uniforms and insignia, without any fighting. By taking control of the borders, the Slovenians were able to establish defensive positions against an expected YPA attack. This meant that the YPA would have to fire the first shot. It was fired on 27 June at 14:30 in Divaca by an officer of YPA.;;;;;;;;;;X
slv_independence;Slovenia's Declaration of Independence;;;;;;;;;;X
slv_independence_desc;On 23 December 1990, more than 88 percent of the electorate voted for a sovereign and independent Slovenia. On 25 June 1991, Slovenia became independent through the passage of appropriate legal documents.;;;;;;;;;;X
slv_transition_independence;Transition to Independence;;;;;;;;;;X
slv_transition_independence_desc;On 7 March 1990, the Slovenian Assembly passed the amendment XCI changing the official name of the state to the Republic of Slovenia dropping the word 'Socialist'.;;;;;;;;;;X
slv_spring;The Slovenian Spring;;;;;;;;;;X
slv_spring_desc;In September 1989, numerous constitutional amendments were passed to introduce parliamentary democracy to Slovenia.;;;;;;;;;;X
slv_trial;The Ljubljana Trial;;;;;;;;;;X
slv_trial_desc;The JBTZ trial, also known as the Ljubljana trial or the Trial against the Four was a political trial held in a military court in Slovenia, then part of Yugoslavia in 1988. The defendants, Janez Jansa, Ivan Borstner, David Tasic and Franci Zavrl, were sentenced to between six months and four years imprisonment for ''betraying military secrets'', after being involved in writing and publishing articles critical of the Yugoslav People's Army. The trial sparked great uproar in Slovenia, and was an important event for the organization and development of the democratic opposition in the republic.;;;;;;;;;;X
slv_revija;Nova revija 57;;;;;;;;;;X
slv_revija_desc;Contributions to the Slovenian National Program, also known as Nova revija 57 or 57th edition of Nova revija was a special issue of the Slovenian opposition intellectual journal Nova revija, published in January 1987. It contained 16 articles by non-Communist and anti-Communist dissidents in the Socialist Republic of Slovenia, discussing the possibilities and conditions for the democratization of Slovenia and the achievement of full sovereignty. It was issued as a reaction to the Memorandum of the Serbian Academy of Sciences and Arts and to the rising centralist aspirations within the Communist Party of Yugoslavia. The authors of the Contributions analyzed the different aspects of political and social conditions in Slovenia, especially in its relations to Yugoslavia. Most of the contributors called for the establishment of a sovereign, democratic and pluralist Slovenian state, although direct demands for independence were not uttered. The publication provoked a scandal throughout former Yugoslavia. The editors of Nova revija were called to defend themselves in a state-sponsored public discussion, organized by the Socialist Alliance of the Working People. The editorial board was forced to step down, but no public prosecution was conducted again any of the authors, and the journal could continue issuing without restrictions.;;;;;;;;;;X
serbian_general_election_1990;Serbian General Election;;;;;;;;;;X
serbian_general_election_1990_desc;General elections were held in the Socialist Republic of Serbia, a constituent federal unit of SFR Yugoslavia, in December 1990. The presidential elections and the first round of the parliamentary elections were held on 9 December, whilst a second round of the parliamentary elections was held on 23 December. Slobodan Milosevic of the Socialist Party of Serbia (SPS) won the presidential elections, whilst the SPS won 194 of the 250 seats in the National Assembly. Opposition parties accused the SPS of voting irregularities.;;;;;;;;;;X
yug_march_protests;The March Protests;;;;;;;;;;X
yug_march_protests_desc;The March 1991 protests in Belgrade happened on the streets of Belgrade, the capital of Serbia and Yugoslavia. A protest rally turned into a riot after being attacked by the police. The initial mass rally that took place on March 9, 1991 was organized by Vuk Draskovic's Serbian Renewal Movement (SPO), an opposition political party in Serbia, protesting the rule of Slobodan Milosevic and his Socialist Party of Serbia, particularly their misuse of Radio Television Belgrade. Two people died in the ensuing violence, and the government then ordered the Yugoslav People's Army onto the city streets. The police detained several prominent SPO officials and banned two media outlets considered unfriendly to the regime. The next day, in reaction to the events of the previous day, more protests drew large and diverse crowds, including leaders of the Democratic Party (DS), with some referring to it as ''Velvet Revolution''. The next day still, the government supporters responded by organizing a counter-rally of their own. The protests ended on March 14 as the leaders of SPO were released from police custody, and the regime replaced the director of the state TV as well as the Minister of the Interior.;;;;;;;;;;X
cro_independence;Croatia's Declaration of Independence;;;;;;;;;;X
cro_independence_desc;On May 19, 1991, the Croatian authorities held a referendum on independence with the option of remaining in Yugoslavia as a looser union. Serb local authorities issued calls for a boycott, which were largely followed by Croatian Serbs. The referendum passed with 94 percent in favor. Croatia declared independence and dissolved its association with Yugoslavia on June 25, 1991.;;;;;;;;;;X
cro_national_guard;Creation of the Croatian National Guard;;;;;;;;;;X
cro_national_guard_desc;"The Croatian Ministry of the Interior started arming an increasing number of special police forces, and this led to the building of a real army. On April 9, 1991, Croatian President Tu?man ordered the special police forces to be renamed Zbor Narodne Garde (""National Guard""), this marks the creation of a separate military of Croatia.";;;;;;;;;;X
cro_pakrac_clash;The Pakrac Clash;;;;;;;;;;X
cro_pakrac_clash_desc;The Pakrac clash, was a bloodless skirmish that took place in the Croatian town of Pakrac in March 1991. The clash was a result of deteriorating ethnic tensions in Croatia. The clash began after rebel Serbs seized the town's police station and municipal building and harassed Croatian government officials. The Croatian government carried out a counterstrike against the rebels, sending Interior Ministry special police to re-establish control. Fighting broke out between the two sides. Despite an attempted intervention by the Yugoslav National Army, the Croatian government reasserted its control over the town. After a standoff with the JNA, an agreement to pull out the special police and the JNA was reached, restoring the town to conditions before the Serb attempt to seize control of the police there.;;;;;;;;;;X
cro_spegelj_tapes;The Spegelj Tapes;;;;;;;;;;X
cro_spegelj_tapes_desc;At the onset of the war in Croatia in mid-1990, the Croatian Serbs orchestrated an armed rebellion (known as the Log Revolution), refusing to accept Croatian government authority. As they were supported by the might of the JNA (first covertly, then openly), Croatia was virtually defenceless, so Spegelj undertook a campaign of acquiring arms through the black market community, importing weapons from former Warsaw Pact countries like Hungary and Romania. He was caught on tape in 1991 talking to an assistant who was actually an undercover KOS (Communist Yugoslav counter-intelligence service) operative. In the conversations, Spegelj talks of arming Croatians in preparation for secession of Croatia and the impending civil war. The so-called Spegelj tapes were turned into a documentary film by Zastava military film center, and aired in January 1991 to the larger Yugoslav public.;;;;;;;;;;X
cro_spegelj_tapes_1;Spegelj resigns;;;;;;;;;;X
cro_spegelj_tapes_1_desc;The so called Spegelj tapes were made public in order to bolster the attack of the Belgrade government against the newly elected Croatian government. The JNA leadership in Belgrade wanted Spegelj to face trial for treason for this. As a result of the affair, and to calm tensions, Tudman dismissed him from his post. Fearing for his life, Spegelj fled to Austria where he remained for several months.;;;;;;;;;;X
cro_smuggle_weapons;Smuggle Weapons to Croatia;;;;;;;;;;X
cro_smuggle_weapons_desc;At the onset of the war in Croatia in mid-1990, the Croatian Serbs orchestrated an armed rebellion (known as the Log Revolution), refusing to accept Croatian government authority. As they were supported by the might of the JNA (first covertly, then openly), Croatia was virtually defenceless, so Spegelj undertook a campaign of acquiring arms through the black market community, importing weapons from former Warsaw Pact countries like Hungary and Romania. ;;;;;;;;;;X
yug_state_of_emergency;Declare State of Emergency;;;;;;;;;;X
