country;main color;leader language;ArmyNationalitySprite;Model Nationality Picture ;Model Nationality Icon;Model Nationality Name;END
U01;LightBlue;ENG;MIN;;;;X
U02;LightBlue;ENG;MIN;;;;X
U03;UserColor2;FRA;MIN;;;;X
U04;Red;FRA;MIN;;;;X
U05;Red;ENG;MIN;;;;X
U06;DarkOrange;ENG;MIN;;;;X
U07;Black;ENG;MIN;;;;X
U08;Gray;ENG;MIN;;;;X
U09;LightGray;ENG;MIN;;;;X
U10;DarkGreen;HOL;MIN;;;;X
U11;LightBlue;FRA;MIN;;;;X
U12;Blue;ENG;MIN;;;;X
U13;Red;HUN;MIN;;;;X
U14;DarkGray;ITA;MIN;;;;X
U15;LightBrown;POR;MIN;;;;X
U16;DarkGreen;AUS;MIN;;;;X
U17;LightRed;BEL;MIN;;;;X
U18;LightOrange;ENG;MIN;;;;X
U19;DarkOrange;NOR;MIN;;;;X
U20;UserColor3;FIN;MIN;;;;X
U21;DarkGray;SWE;MIN;;;;X
U22;DarkYellow;DEN;MIN;;;;X
U23;Black;ENG;MIN;;;;X
U24;Brown;ENG;MIN;;;;X
U25;LightGray;ENG;MIN;;;;X
U26;Red;GER;MIN;;;;X
U27;LightYellow;YUG;MIN;;;;X
U28;UserColor1;ENG;MIN;;;;X
U29;LightBrown;BUL;MIN;;;;X
U30;DarkOrange;ROM;MIN;;;;X
U31;UserColor4;ENG;MIN;;;;X
U32;Blue;POL;MIN;;;;X
U33;DarkBlue;ENG;MIN;;;;X
U34;Green;TUR;MIN;;;;X
U35;UserColor6;SPA;MIN;;;;X
U36;Green;ENG;MIN;;;;X
U37;LightRed;ENG;MIN;;;;X
U38;LightOrange;ENG;MIN;;;;X
U39;Yellow;TUR;MIN;;;;X
U40;UserColor4;ENG;MIN;;;;X
U41;Green;ENG;MIN;;;;X
U42;DarkYellow;ENG;MIN;;;;X
U43;LightRed;ENG;MIN;;;;X
U44;Brown;ENG;MIN;;;;X
U45;DarkGreen;ENG;MIN;;;;X
U46;UserColor2;ENG;MIN;;;;X
U47;LightYellow;ENG;MIN;;;;X
U48;UserColor3;ENG;MIN;;;;X
U49;DarkGray;ENG;MIN;;;;X
U50;Yellow;ENG;MIN;;;;X
U51;DarkBlue;ENG;MIN;;;;X
U52;DarkOrange;ENG;MIN;;;;X
U53;LightYellow;ENG;MIN;;;;X
U54;DarkRed;ENG;MIN;;;;X
U55;Gray;ENG;MIN;;;;X
U56;Green;ENG;MIN;;;;X
U57;LightRed;ENG;MIN;;;;X
U58;LightOrange;ENG;MIN;;;;X
U59;Yellow;ENG;MIN;;;;X
U60;DarkGray;ENG;MIN;;;;X
U61;DarkOrange;ENG;MIN;;;;X
U62;DarkYellow;ENG;MIN;;;;X
U63;DarkGreen;ENG;MIN;;;;X
U64;Brown;ENG;MIN;;;;X
U65;LightGray;ENG;MIN;;;;X
U66;Brown;ENG;MIN;;;;X
U67;UserColor1;CHI;MIN;;;;X
U68;LightBrown;ENG;MIN;;;;X
U69;DarkOrange;ENG;MIN;;;;X
U70;DarkGreen;ENG;MIN;;;;X
U71;LightBlue;ENG;MIN;;;;X
U72;DarkRed;CHI;MIN;;;;X
U73;DarkBlue;ENG;MIN;;;;X
U74;DarkBlue;ENG;MIN;;;;X
U75;DarkOrange;ENG;MIN;;;;X
U76;Green;ENG;MIN;;;;X
U77;LightRed;ENG;MIN;;;;X
U78;LightOrange;ENG;MIN;;;;X
U79;Yellow;ENG;MIN;;;;X
U80;Yellow;ENG;MIN;;;;X
U81;Gray;FRA;MIN;;;;X
U82;Yellow;FRA;MIN;;;;X
U83;Orange;ENG;MIN;;;;X
U84;DarkBrown;FRA;MIN;;;;X
U85;DarkRed;FRA;MIN;;;;X
U86;LightBlue;ENG;MIN;;;;X
U87;LightGray;ENG;MIN;;;;X
U88;LightOrange;FRA;MIN;;;;X
U89;Green;ENG;MIN;;;;X
U90;LightGray;ENG;MIN;;;;X
U91;LightGray;TUR;MIN;;;;X
U92;LightGray;ITA;MIN;;;;X
U93;Green;SPA;MIN;;;;X
U94;Orange;FRA;MIN;;;;X
U95;UserColor5;FRA;MIN;;;;X
U96;LightYellow;ENG;MIN;;;;X
U97;UserColor6;ENG;MIN;;;;X
U98;DarkRed;ENG;MIN;;;;X
U99;Yellow;ENG;MIN;;;;X
USN;UserColor5;USA;MIN;;;;X
UAU;Black;USA;MIN;;;;X
UCH;LightBlue;USA;MIN;;;;X
UBO;White;USA;MIN;;;;X
UTC;Blue;USA;MIN;;;;X
UGS;DarkGreen;USA;MIN;;;;X
UCS;LightGreen;USA;MIN;;;;X
UIC;LightRed;USA;MIN;;;;X
UPR;LightYellow;USA;MIN;;;;X
UER;LightBlue;USA;MIN;;;;X
UTO;UserColor6;USA;MIN;;;;X
UIR;DarkYellow;USA;MIN;;;;X
UTL;LightBrown;SPA;MIN;;;;X
UPS;LightOrange;USA;MIN;;;;X
UES;Blue;USA;MIN;;;;X
URO;LightRed;USA;MIN;;;;X
UAP;LightYellow;ENG;MIN;;;;X
UPE;LightYellow;ENG;MIN;;;;X
END;DarkGreen;ENG;MIN;;;;X
