AFG;3000027 3000029 3000030 
SAR;3000027 3000028 3000029 3000030 
SAU;3000027 3000028 3000029 3000030 
SCH;3000012 3000015 3000016 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
SIA;3000027 3000028 3000029 3000030 
SOM;3000027 3000029 3000030 
SOV;3000011 3000012 3000015 3000016 3000017 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
SPA;3000027 3000028 3000029 3000030 3000031 
SUD;3000027 3000028 3000029 3000030 
SWE;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
SYR;3000027 3000028 3000029 3000030 
TIB;3000027 3000029 3000030 
TUR;3000027 3000028 3000029 3000030 3000031 
U02;3000027 3000028 3000029 3000030 3000031 
U05;3000027 3000028 3000029 3000030 3000031 
URU;3000011 3000012 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
USA;3000011 3000012 3000015 3000016 3000017 3000018 3000027 3000028 3000029 3000030 3000031 3000032 3000033
VEN;3000027 3000028 3000029 3000030 3000031 
VIE;3000027 3000029 3000030 
YEM;3000027 3000029 3000030 
U27;3000027 3000028 3000029 3000030 3000031 
U72;3000027 3000028 3000029 3000030 
U83;3000027 3000028 3000029 3000030 3000031 
U70;3000027 3000029 3000030 
U75;3000027 3000028 3000029 3000030 3000031 
U81;3000027 3000029 3000030 
U82;3000027 3000029 3000030 
U84;3000027 3000029 3000030 
U85;3000027 3000029 3000030 
U86;3000027 3000029 3000030 
U88;3000027 3000029 3000030 
U89;3000027 3000029 3000030 
U90;3000027 3000029 3000030 
U91;3000027 3000028 3000029 3000030 
U92;3000027 3000028 3000029 3000030 3000031 
U93;3000027 3000029 3000030 
U94;3000027 3000029 3000030 
U95;3000027 3000029 3000030 
U96;3000027 3000029 3000030 
U97;3000027 3000029 3000030 
U98;3000027 3000029 3000030 
U99;3000027 3000029 3000030 
