Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Johann Langenegger;630085;DFR;2009;2013;2014;2014;2;4;4194304;3;3;5;0;FRG_L_Langenegger;2009;2014;2014;x
Jörg Auer;630086;DFR;1996;2000;2014;2014;2;4;4069;3;3;5;1;unknownleader;1996;2014;2014;x
Jörg Kuebart;630087;DFR;1979;1981;1985;2014;2;4;4069;4;2;5;2;Jörg Kuebart;1979;1994;1994;x
Jörg Schönbohm;630088;DFR;1983;1985;1988;2014;3;4;1;4;3;8;0;FRG_L_Schönbohm;1983;1998;1998;x
Jörg Vollmer;630089;DFR;2006;2011;2014;2014;1;4;0;4;2;5;0;Jörg Vollmer;2006;2014;2014;x
Jörn Söder;630090;DFR;1981;1986;1988;2014;3;4;33554432;3;3;5;0;FRG_L_Söder;1981;1995;1995;x
Jürgen Höche;630091;DFR;1984;1990;1995;2014;1;4;4069;3;3;5;2;FRG_L_Höche;1984;1999;1999;x
Jürgen Reichardt;630092;DFR;1985;1990;2014;2014;2;4;256;3;3;4;0;FRG_L_Reichardt;1985;1998;1998;x
Jürgen Ruwe;630093;DFR;1992;1994;1999;2014;3;4;128;3;3;4;0;FRG_L_Ruwe;1992;2006;2006;x
Jürgen Schlüter;630094;DFR;1981;1986;2014;2014;2;4;128;3;3;4;0;unknownleader;1981;1994;1994;x
Jürgen Schnell;630095;DFR;1982;1985;1987;1995;1;4;0;4;1;5;1;FRG_L_Schnell;1982;1994;1994;x
Jürgen von Falkenhayn;630096;DFR;1985;1990;2014;2014;2;4;128;3;3;5;0;FRG_L_Falkenhayn;1985;1995;1995;x
Karl-Heinz Lather;630097;DFR;1993;1995;2001;2007;3;6;1;4;3;5;0;FRG_L_Lather;1993;2010;2010;x
Karl Erich Diedrichs;630098;DFR;1976;1981;1984;2014;3;5;128;4;3;5;0;unknownleader;1976;1988;1988;
Karsten Oltmanns;630099;DFR;1986;1992;2014;2014;2;4;128;4;3;5;0;unknownleader;1986;2001;2001;x
Kersten Lahl;630100;DFR;1997;2000;2005;2014;3;4;4194304;4;3;5;0;FRG_L_Lahl;1997;2014;2014;x
Klaus Frühhaber;630101;DFR;1988;1992;2014;2014;2;4;128;4;3;5;0;FRG_L_Frühhaber;1988;2000;2000;x
Klaus Jancke;630102;DFR;1990;1995;2014;2014;3;4;0;3;3;5;1;unknownleader;1990;2001;2001;x
Klaus Naumann;630103;DFR;1986;1988;1990;1991;3;7;0;4;2;5;0;Klaus Naumann;1986;1999;1999;x
Klaus Nennecke;630104;DFR;1973;2014;2014;2014;3;4;128;4;5;7;0;unknownleader;1973;1986;1986;x
Klaus Olshausen;630105;DFR;1993;1998;2000;2014;2;4;128;4;4;5;0;FRG_L_Olshausen;1993;2006;2006;x
Klaus Reinhardt;630106;DFR;1988;1990;1993;1998;2;6;0;4;2;5;0;Klaus Reinhardt;1988;2001;2001;x
Klaus von Dambrowski;630107;DFR;2006;2009;2014;2014;2;4;0;4;2;5;1;Klaus von Dambrowski;2006;2014;2014;x
Klaus von Heimendahl (sen.);630108;DFR;1985;2014;2014;2014;1;4;128;4;3;5;0;FRG_L_Heimendahl;1985;1994;1994;x
Klaus Wiesmann;630109;DFR;1986;1990;1995;2014;3;6;128;4;2;5;0;FRG_L_Wiesmann;1986;2000;2000;x
Klaus-Christoph Steinkopff;630110;DFR;1985;1990;2014;2014;2;5;128;5;3;5;0;unknownleader;1985;1996;1996;x
Klaus-Dieter Laudien;630111;DFR;1990;2014;2014;2014;3;4;4069;3;2;5;1;unknownleader;1990;1999;1999;x
Klaus-Dieter Sievert;630112;DFR;1985;2014;2014;2014;3;4;0;3;2;5;1;unknownleader;1985;1996;1996;
Klaus-Jürgen Steindorff;630113;DFR;1984;1986;2014;2014;1;4;4069;3;2;5;1;unknownleader;1984;1989;1989;x
Klaus-Peter Stieglitz;630114;DFR;1998;2002;2003;2014;1;4;8192;4;3;5;2;FRG_L_Stieglitz;1998;2009;2009;x
Konrad Ehrensberger;630115;DFR;1985;1988;2014;2014;2;4;4069;4;4;5;1;unknownleader;1985;1994;1994;x
Kurt Barthel;630116;DFR;1984;1988;2014;2014;2;4;128;3;2;5;0;unknownleader;1984;1993;1993;x
Kurt-Robert Enzenberger;630117;DFR;1982;2014;2014;2014;1;4;0;3;2;4;2;unknownleader;1982;1986;1986;x
Leopold Chalupa;630118;DFR;1975;1977;1980;1983;0;7;512;4;4;5;0;FRG_L_chalupa;1975;1989;1989;x
Lothar Amme;630119;DFR;2000;2014;2014;2014;3;4;0;3;2;4;2;unknownleader;2000;2014;2014;x
Lutz Feldt;630120;DFR;1995;1996;2000;2014;1;4;4069;4;3;5;1;FRG_L_Feldt;1995;2006;2006;x
Manfred Dietrich;630121;DFR;1989;1995;2001;2014;1;5;128;3;2;4;0;unknownleader;1989;2005;2005;x
Manfred Eisele;630122;DFR;1987;1991;2014;2014;3;4;0;3;2;5;0;FRG_L_Eisele;1987;1992;1992;x
Manfred Engelhardt;630123;DFR;2004;2006;2008;2014;3;5;128;3;2;5;0;unknownleader;2004;2013;2013;x
Manfred Gerber;630124;DFR;1985;1990;1995;2014;1;5;128;3;2;5;0;unknownleader;1985;1998;1998;x
Markus Bentler;630125;DFR;2002;2006;2009;2014;1;5;2097152;3;3;5;0;FRG_L_Bentler;2002;2014;2014;x
Markus Krause-Traudes;630126;DFR;2012;2014;2014;2014;3;4;0;4;2;5;1;Markus Krause-Traudes;2012;2014;2014;x
Michael Bartscher;630127;DFR;2013;2014;2014;2014;3;4;0;4;1;5;2;Michael Bartscher;2013;2014;2014;x
Michael von Scotti;630128;DFR;1990;1995;2014;2014;2;4;0;3;3;5;0;unknownleader;1990;2002;2002;x
Norbert van Heyst;630129;DFR;1993;1997;2002;2014;2;4;0;4;2;5;0;Norbert van Heyst;1993;2014;2014;x
Paul Westhoff;630130;DFR;1991;2014;2014;2014;3;4;0;3;3;5;2;unknownleader;1991;1995;1995;x
Peter Heinrich Carsten;630131;DFR;1982;1989;1991;1993;3;6;0;4;2;5;0;unknownleader;1982;1998;1998;x
Peter Rohde;630132;DFR;1983;1986;2014;2014;2;4;0;2;2;5;0;unknownleader;1983;1991;1991;x
Rainer Brinkmann;630133;DFR;2003;2008;2012;2014;1;4;2048;6;2;5;1;Rainer Brinkmann;2003;2014;2014;x
Rainer Feist;630134;DFR;1994;1998;2000;2014;1;4;2048;4;3;5;1;FRG_L_Feist;1994;2004;2004;x
Rainer Jung;630135;DFR;1996;2000;2014;2014;3;4;0;3;3;5;0;unknownleader;1996;2004;2004;x
Rainer Schuwirth;630136;DFR;1994;1999;2001;2007;0;6;0;4;2;5;0;FRG_L_schuwirth;1994;2007;2007;x
Reinhard Günzel;630137;DFR;2000;2014;2014;2014;3;3;2097152;3;1;3;0;Reinhard Günzel;2000;2003;2003;x
Richard Rossmanith;630138;DFR;1995;1997;2000;2007;2;6;0;4;2;5;0;Richard Rossmanith;1995;2014;2014;x
Rolf H. Portz;630139;DFR;1990;1992;1993;2014;1;4;4069;4;3;5;2;FRG_L_Portz;1990;2001;2001;x
Rolf Hüttel;630140;DFR;1984;1989;1992;2014;3;4;0;3;2;5;0;FRG_L_Hüttel;1984;1992;1992;x
Rolf Ocken;630141;DFR;1988;1992;2014;2014;3;4;0;3;3;5;0;FRG_L_Ocken;1988;2000;2000;x
Rüdiger Drews;630142;DFR;1990;1994;1998;2014;1;5;128;3;2;7;0;FRG_L_Drews;1990;2002;2002;x
Ruprecht Haasler;630143;DFR;1986;1990;2014;2014;2;4;0;3;3;5;0;unknownleader;1986;1997;1997;x
Siegfried Poschwatta;630144;DFR;1984;1988;2014;2014;2;4;0;3;3;5;2;unknownleader;1984;1997;1997;x
Siegfried Storbeck;630145;DFR;1980;1984;1986;2014;1;4;128;4;3;5;0;FRG_L_Storbeck;1980;1991;1991;x
Udo Beitzel;630146;DFR;1995;2014;2014;2014;1;4;;4;4;5;0;FRG_L_Beitzel;1995;2000;2000;x
Volker Wieker;630147;DFR;2002;2004;2008;2010;2;6;0;4;2;5;0;Volker Wieker;2002;2014;2014;x
Werner Lange;630148;DFR;1978;1982;1984;2014;3;5;128;3;3;5;0;unknownleader;1978;1990;1990;x
Werner von Scheven;630149;DFR;1985;1988;1991;2014;1;5;128;3;3;5;0;FRG_L_Scheven;1985;1994;1994;x
Werner Widder;630150;DFR;1994;1997;2014;2014;2;4;128;3;3;5;0;FRG_L_Widder;1994;2005;2005;x
Wilhelm Jacoby;630151;DFR;1985;1990;2014;2014;2;4;0;3;3;5;0;unknownleader;1985;1994;1994;x
Winfried Weick;630152;DFR;1984;1989;1994;2014;2;4;128;4;3;8;0;FRG_L_Weick;1984;1994;1994;x
Wolfgang Altenburg;630153;DFR;1977;1980;1981;1983;0;7;512;4;2;5;0;Wolfgang Altenburg;1977;1989;1989;x
Wolfgang E. Nolting;630154;DFR;1996;1998;2003;2014;1;4;4069;4;3;5;1;FRG_L_Nolting;1996;2000;2000;x
Wolfgang Estorf;630155;DFR;1986;1991;2014;2014;2;4;128;4;2;5;0;FRG_L_Estorf;1986;1994;1994;x
Wolfgang Görlitz;630156;DFR;1985;2014;2014;2014;1;4;0;3;3;5;2;FRG_L_Görlitz;1985;1991;1991;x
Wolfgang Korte;630157;DFR;1999;2004;2007;2014;1;5;128;3;3;5;0;FRG_L_Korte;1999;2011;2011;x
Wolfgang Odendahl;630158;DFR;1979;1982;1986;2014;1;5;2097152;3;3;5;0;FRG_L_Odendahl;1979;1990;1990;x
Wolfgang Schneiderhan;630159;DFR;1996;1999;2000;2002;2;6;0;4;2;5;0;Wolfgang Schneiderhan;1996;2014;2014;x
Wolfram Kühn;630160;DFR;2001;2004;2006;2014;1;4;0;4;2;5;1;Wolfram Kühn;2001;2014;2014;x
Wolfgang Malecha;630161;DFR;1982;1984;1986;2014;1;4;0;3;3;5;0;unknownleader;1982;1990;1990;x
