Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Gleuber Viera;160029;BRA;1943;1990;1990;1990;3;5;64;0;0;5;0;L31028;1943;2012;2012;x
Góes Depóe;160030;BRA;1938;1990;1990;1990;3;4;256;0;0;3;0;L31029;1938;2012;2012;x
Góes Monteiro;160031;BRA;1930;1930;1942;1990;1;4;0;1;0;5;0;L31030;1930;2012;2012;x
Guimarés;160032;BRA;1939;1990;1990;1990;3;6;32;0;0;4;0;L31031;1939;2012;2012;x
Kroner;160033;BRA;1930;1930;1938;1990;1;6;528;2;0;5;0;L31032;1930;2012;2012;x
Kopp;160034;BRA;1930;1939;1990;1990;2;4;128;1;0;4;0;L31033;1930;2012;2012;x
Leitão de Carvalho;160035;BRA;1937;1940;1990;1990;2;4;1;1;0;3;0;L31034;1937;2012;2012;x
Lopes Veira;160036;BRA;1930;1939;1990;1990;3;6;0;1;0;5;0;L31035;1930;2012;2012;x
Mascarenhas de Moraes;160037;BRA;1930;1930;1939;1944;1;6;1;3;0;4;0;L31036;1930;2012;2012;x
Napoleão Poeta;160038;BRA;1930;1930;1990;1990;2;6;576;1;0;5;0;L31037;1930;2012;2012;x
Neves da Fontoura;160039;BRA;1930;1930;1941;1990;1;5;0;1;0;5;0;L31038;1930;2012;2012;x
Newton Cavalcanti;160040;BRA;1939;1942;1990;1990;2;5;0;1;0;3;0;L31039;1939;2012;2012;x
Perdra Pires;160041;BRA;1930;1930;1990;1990;2;6;514;1;0;5;0;L31040;1930;2012;2012;x
Pereira da Costa;160042;BRA;1930;1939;1990;1990;2;4;0;1;0;3;0;L31041;1930;2012;2012;x
Plinio Pitaluga;160043;BRA;1939;1941;1946;1990;2;7;1;2;0;5;0;L31042;1939;2012;2012;x
Ramos de Andrade;160044;BRA;1930;1930;1990;1990;2;4;64;0;0;3;0;L31043;1930;2012;2012;x
Ruschel Vasconcelos;160045;BRA;1939;1944;1990;1990;3;6;256;1;0;4;0;L31044;1939;2012;2012;x
Se Sá Serrão;160046;BRA;1930;1990;1990;1990;3;4;32;0;0;5;0;L31045;1930;2012;2012;x
Solon Ribeiro;160047;BRA;1942;1990;1990;1990;3;5;256;0;0;5;0;L31046;1942;2012;2012;x
Tavares da Silva;160048;BRA;1930;1990;1990;1990;3;4;0;1;0;5;0;L31047;1930;2012;2012;x
Teixeira Lott;160049;BRA;1939;1942;1946;1990;2;6;4;2;0;4;0;L31048;1939;2012;2012;x
Valgas Neves;160050;BRA;1930;1930;1930;1990;1;4;32;0;0;5;0;L31049;1930;2012;2012;x
Zenóbio da Costa;160051;BRA;1938;1942;1990;1990;2;6;64;1;0;4;0;L31050;1938;2012;2012;x
Álvaro Alberto;160052;BRA;1943;1990;1990;1990;3;4;0;0;0;5;1;L31051;1943;2012;2012;x
Álvaro do Cabo;160053;BRA;1941;1943;1990;1990;2;4;0;1;0;4;1;L31052;1941;2012;2012;x
Cantanero da Silva;160054;BRA;1930;1990;1990;1990;3;5;1536;1;0;5;1;L31053;1930;2012;2012;x
Chagnaud de Andrade;160055;BRA;1939;1945;1990;1990;3;4;0;1;0;4;1;L31054;1939;2012;2012;x
do Gusmao Camara;160056;BRA;1945;1950;1990;1990;3;4;0;1;0;4;1;L31055;1945;2012;2012;x
do Henrique Vieja;160057;BRA;1930;1930;1930;1990;1;6;2560;1;0;4;1;L31056;1930;2012;2012;x
Fernandes Pereira;160058;BRA;1943;1990;1990;1990;3;5;0;0;0;4;1;L31057;1943;2012;2012;x
Guilhem do Marais;160059;BRA;1938;1941;1942;1990;1;5;4096;2;0;5;1;L31058;1938;2012;2012;x
Loesch Soares;160060;BRA;1939;1943;1990;1990;2;4;8192;1;0;5;1;L31059;1939;2012;2012;x
Macedo Corrêa Pinto;160061;BRA;1940;1946;1990;1990;3;5;8192;1;0;4;1;L31060;1940;2012;2012;x
Moraes Rego;160062;BRA;1930;1939;1990;1990;2;4;0;1;0;4;1;L31061;1930;2012;2012;x
Padilha;160063;BRA;1930;1937;1941;1990;1;4;0;2;0;3;1;L31062;1930;2012;2012;x
Peixoto;160064;BRA;1930;1930;1930;1930;0;6;8704;1;0;4;1;L31063;1930;2012;2012;x
Pinhas;160065;BRA;1943;1990;1990;1990;3;4;1024;0;0;4;1;L31064;1943;2012;2012;x
Simoes da Silva;160066;BRA;1930;1930;1990;1990;2;5;4608;1;0;4;1;L31065;1930;2012;2012;x
Tavares da Cunhã;160067;BRA;1940;1990;1990;1990;3;4;1024;0;0;5;1;L31066;1940;2012;2012;x
Vidigál;160068;BRA;1938;1941;1990;1990;2;5;0;1;0;3;1;L31067;1938;2012;2012;x
Agliberto Vieira;160069;BRA;1940;1990;1990;1990;3;4;0;0;0;3;2;L31068;1940;2012;2012;x
Aurélio Sampaio;160070;BRA;1937;1990;1990;1990;3;5;0;0;0;4;2;L31069;1937;2012;2012;x
Belloc;160071;BRA;1940;1990;1990;1990;3;5;4096;0;0;4;2;L31070;1940;2012;2012;x
de Ameida;160072;BRA;1939;1942;1990;1990;2;6;33280;1;0;5;2;L31071;1939;2012;2012;x
de Medeiros;160073;BRA;1939;1945;1990;1990;3;4;0;1;0;4;2;L31072;1939;2012;2012;x
dos Santos;160074;BRA;1930;1930;1990;1990;2;6;4096;2;0;5;2;L31073;1930;2012;2012;x
Figueira de Almeida;160075;BRA;1939;1942;1990;1990;2;4;0;0;0;5;2;L31074;1939;2012;2012;x
Filhõ;160076;BRA;1938;1943;1990;1990;2;5;66048;1;0;5;2;L31075;1938;2012;2012;x
Gomés;160077;BRA;1937;1940;1942;1944;1;6;16384;3;0;4;2;L31076;1937;2012;2012;x
Lavenére Wanderley;160078;BRA;1940;1990;1990;1990;3;4;131072;0;0;4;2;L31077;1940;2012;2012;x
Motta Paes;160079;BRA;1942;1944;1949;1990;2;4;0;2;0;5;2;L31078;1942;2012;2012;x
Montenegro Filho;160080;BRA;1941;1990;1990;1990;3;5;0;0;0;3;2;L31079;1941;2012;2012;x
Moura;160081;BRA;1939;1990;1990;1990;3;4;0;0;0;4;2;L31080;1939;2012;2012;x
Nero Moura;160082;BRA;1940;1945;1990;1990;3;6;0;1;0;5;2;L31081;1940;2012;2012;x
Oliveira Gomes;160083;BRA;1930;1938;1941;1990;1;5;0;2;0;5;2;L31082;1930;2012;2012;x
Olsen Sapucaia;160084;BRA;1943;1990;1990;1990;3;4;65536;0;0;5;2;L31083;1943;2012;2012;x
Richardson Cordeiro;160085;BRA;1939;1990;1990;1990;3;5;0;0;0;5;2;L31084;1939;2012;2012;x
Agostinho dos Santos;160086;BRA;1941;1990;1990;1990;3;4;4;0;0;5;0;L31085;1941;2012;2012;x
da Veiga Cabral;160087;BRA;1930;1930;1941;1990;1;5;0;1;0;5;0;L31086;1930;2012;2012;x
de Segadas Viana;160088;BRA;1930;1939;1942;1990;1;6;0;2;0;5;0;L31087;1930;2012;2012;x
Dennys;160089;BRA;1930;1940;1990;1990;2;4;1;1;0;5;0;L31088;1930;2012;2012;x
Espirito Santo Cardoso;160090;BRA;1938;1942;1990;1990;2;4;32;1;0;5;0;L31089;1938;2012;2012;x
Estillac Leal;160091;BRA;1937;1939;1990;1990;2;4;64;1;0;5;0;L31090;1937;2012;2012;x
Kruel;160092;BRA;1941;1943;1948;1990;1;4;128;2;0;5;0;L31091;1941;2012;2012;x
Leite de Castro;160093;BRA;1930;1930;1939;1990;1;3;0;2;0;5;0;L31092;1930;2012;2012;x
Sezefredo Passos;160094;BRA;1930;1930;1930;1990;1;5;544;1;0;5;0;L31093;1930;2012;2012;x
de Noronha;160095;BRA;1930;1930;1939;1990;1;4;0;1;0;5;1;L31094;1930;2012;2012;x
Alencar;160096;BRA;1930;1930;1930;1990;1;5;8704;1;0;5;1;L31095;1930;2012;2012;x
Fonseca;160097;BRA;1904;1904;1990;1990;2;4;0;2;0;5;0;192;1904;2012;2012;x
Morais;160098;BRA;1908;1990;1990;1990;1;4;524288;1;0;5;0;2210;1908;2012;2012;x
Andrade Guimarães;160099;BRA;1908;1990;1990;1990;1;4;0;1;0;5;0;188;1908;2012;2012;x
Bormann;160100;BRA;1908;1990;1990;1990;1;4;4;0;0;5;0;196;1908;2012;2012;x
Dantas Barreto;160101;BRA;1908;1990;1990;1990;1;3;1;1;0;5;0;189;1908;2012;2012;x
Fontoura Mena Barreto;160102;BRA;1908;1990;1990;1990;1;5;0;0;0;5;0;185;1908;2012;2012;x
Albuquerque e Silva;160103;BRA;1908;1990;1990;1990;1;4;524288;3;0;5;0;2214;1908;2012;2012;x
Faria;160104;BRA;1908;1990;1990;1990;1;5;0;2;0;5;0;2208;1908;2012;2012;x
Carvalho, F. S.;160105;BRA;1908;1924;1990;1990;2;4;2;1;0;5;0;191;1908;2012;2012;x
Paula Argolo;160106;BRA;1908;1908;1990;1990;2;4;524288;2;0;5;0;unknownleader;1908;2012;2012;x
Frota;160107;BRA;1908;1908;1990;1990;2;4;0;1;0;5;0;unknownleader;1908;2012;2012;x
Silva Rondon;160108;BRA;1908;1990;1990;1990;1;4;0;3;0;5;0;187;1908;2012;2012;x
Passos;160109;BRA;1908;1990;1990;1990;1;3;1;2;0;5;0;2212;1908;2012;2012;x
Deus Mena Barreto;160110;BRA;1924;1990;1990;1990;1;5;0;1;0;5;0;194;1924;2012;2012;x
Leão;160111;BRA;1908;1990;1990;1990;1;4;0;1;0;5;1;195;1908;2012;2012;x
Gomes Pereira;160112;BRA;1908;1908;1990;1990;2;4;0;2;0;5;1;186;1908;2012;2012;x
Carvalho, J. C.;160113;BRA;1912;1990;1990;1990;1;6;0;0;0;5;1;2243;1912;2012;2012;x
Alencar;160114;BRA;1908;1908;1990;1990;2;4;1285;2;0;5;1;184;1908;2012;2012;x
Kirk;160115;BRA;1912;1914;1990;1990;2;4;0;3;0;5;2;2213;1912;2012;2012;x
Ribeiro Filho;160116;BRA;1916;1990;1990;1990;1;4;0;1;0;5;2;unknownleader;1916;2012;2012;x
Delamare;160117;BRA;1916;1990;1990;1990;1;6;0;1;0;5;2;unknownleader;1916;2012;2012;x
Melo;160118;BRA;1916;1990;1990;1990;1;4;0;1;0;5;2;unknownleader;1916;2012;2012;x
Carvalho, J. C.;160119;BRA;1911;1990;1990;1990;1;5;0;0;0;5;2;2243;1911;2012;2012;x
