RUS;Name;Pic Name;Skill;Start Year;End Year;Speciality1;Speciality2;Speciality3;Speciality4;Speciality5;Speciality6;Speciality7;Speciality8;Speciality9;Speciality10;Speciality11;Speciality12;Speciality13;Speciality14;Speciality15;Speciality16;Speciality17;Speciality18;Speciality19;Speciality20;Speciality21;Speciality22;Speciality23;Speciality24;Speciality25;Speciality26;Speciality27;Speciality28;Speciality29;Speciality30;Speciality31;Speciality32;x
13835;Nikolayev Shipyard;nikolaevship;7;2099;2999;naval_artillery;naval_engineering;carrier_design;submarine_design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13836;Yuzhnoye Design Bureau;yuzhnoye;9;2099;2999;rocketry;electronics;aeronautics;avionics;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13837;Rubin Design Bureau;rubin;9;1000;2999;submarine_tactics;submarine_design;nuclear_physics;naval_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13838;Baltiysky Zavod;baltiski;7;1000;2999;naval_artillery;naval_engineering;nuclear_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13839;Submarine Forces;russubmarine;9;1000;2999;seamanship;management;small_taskforce_tactics;naval_training;submarine_tactics;;;;;;;;;;;;;;;;;;;;;;;;;;;;x
13840;Naval Logistics;rusnavlog;7;1000;2999;naval_training;seamanship;naval_engineering;management;munitions;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13841;KGB;KGB;9;1985;2999;rt_user_4;mathematics;technical_efficiency;individual_courage;centralized_execution;small_unit_tactics;management;;;;;;;;;;;;;;;;;;;;;;;;;;
13842;Lobaev;lobaev;6;2000;2999;rt_user_5;rt_user_7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13843;Lazurit Central Design Bureau;lazurit;7;1953;2999;submarine_design;naval_engineering;nuclear_engineering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13844;Malakhit Design Bureau;malakhit;8;1948;2999;submarine_design;naval_engineering;nuclear_engineering;technical_efficiency;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
